City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
275,dakhla,23.6848,-15.958,18.26,83,0,9.94,EH,1712098047
276,waslala,13.2333,-85.3833,33.78,26,4,2.85,NI,1712098747
277,mingshui,36.7167,117.5,9.94,90,100,4.08,CN,1712098748
278,aransas pass,27.9095,-97.15,32.0,24,0,8.75,US,1712098749
279,casper,42.8666,-106.3131,13.78,31,0,6.69,US,1712098501
280,kristiansund,63.1115,7.732,0.03,55,75,6.69,NO,1712098750
281,itamaraca,-7.7478,-34.8256,30.03,82,22,3.44,BR,1712098751
282,ohara,35.25,140.3833,15.21,74,98,3.12,JP,1712098752
283,jianguang,28.1938,115.7836,20.54,96,100,1.98,CN,1712098753
284,lihue,21.9789,-159.3672,26.58,69,75,7.72,US,1712097976
285,zapala,-38.8992,-70.0544,9.67,54,100,17.76,AR,1712098754
286,marsa alam,25.0757,34.8918,23.4,72,0,0.61,EG,1712098755
287,bria,6.5423,21.9863,25.09,56,74,1.13,CF,1712098756
288,gaigeturi,33.4644,126.3183,16.03,94,100,1.54,KR,1712098370
289,ebaye,8.7748,167.7392,29.01,70,0,7.2,MH,1712098757
290,la passe,45.5549,-0.8967,11.13,86,100,8.35,FR,1712098009
291,tari,12.4086,4.4914,31.6,11,15,2.41,NG,1712098758
292,camocim,-2.9022,-40.8411,26.58,87,98,2.53,BR,1712098759
293,port mathurin,-19.6833,63.4167,26.58,82,100,6.88,MU,1712098236
294,magadan,59.5667,150.8,-6.47,63,1,2.55,RU,1712098760
295,st. john's,47.5649,-52.7093,1.65,91,100,11.18,CA,1712098128
296,kasongo-lunda,-6.4667,16.8167,21.54,94,100,0.24,CD,1712098762
297,carutapera,-1.195,-46.02,25.73,93,70,2.63,BR,1712098762
298,nagqu,31.5,92.0,-3.08,52,93,2.72,CN,1712098364
299,rayon,19.1444,-99.5836,25.43,20,71,4.96,MX,1712098764
300,beitbridge,-22.2167,30.0,21.77,56,86,3.36,ZW,1712098764
301,galich,58.3797,42.3475,8.84,97,100,3.11,RU,1712098765
302,chibougamau,49.9168,-74.3659,2.79,41,0,4.63,CA,1712098766
303,usinsk,65.9939,57.5281,-19.96,93,23,4.92,RU,1712098312
304,lavrio,37.7145,24.0565,22.53,52,100,4.58,GR,1712098767
305,corn island,12.1694,-83.0418,28.02,68,31,4.41,NI,1712098768
306,ustka,54.5805,16.8619,3.69,95,100,7.15,PL,1712098575
307,constitucion,-35.3333,-72.4167,13.49,96,100,1.01,CL,1712098769
308,tatarsk,55.219,75.9828,0.32,93,100,3.3,RU,1712098770
309,angra do heroismo,38.65,-27.2167,17.34,90,40,8.94,PT,1712098487
310,gamay,12.3854,125.2979,26.12,84,85,2.2,PH,1712098771
311,raduzhny,62.0961,77.475,-0.38,95,100,7.51,RU,1712098772
312,detroit lakes,46.8172,-95.8453,4.49,71,100,8.75,US,1712098773
313,sandnessjoen,66.0217,12.6316,-8.71,67,11,5.1,NO,1712098773
314,kralendijk,12.15,-68.2667,28.99,70,40,8.23,BQ,1712098774
315,hami,42.8,93.45,6.34,42,23,0.69,CN,1712098335
316,sampit,-2.5333,112.95,24.01,99,83,0.8,ID,1712098775
317,prado,-17.3411,-39.2208,25.44,91,88,0.92,BR,1712098776
318,new norfolk,-42.7826,147.0587,11.62,68,58,1.36,AU,1712098358
319,sylt-ost,54.8833,8.35,3.05,87,75,3.6,DE,1712098777
320,fort bragg,35.139,-79.006,28.32,53,75,7.72,US,1712098148
321,mitu,1.1983,-70.1733,24.82,95,87,0.6,CO,1712098778
322,shanhaiguan,39.9988,119.7564,9.91,21,100,6.48,CN,1712098779
323,santa vitoria,-18.8386,-50.1214,23.73,83,86,1.65,BR,1712098780
324,le pouliguen,47.2697,-2.4278,11.11,95,100,8.78,FR,1712098781
325,geraldton,-28.7667,114.6,23.23,38,75,8.23,AU,1712098352
326,jalqani,12.4486,34.2186,30.14,17,91,2.83,SD,1712098782
327,pilar,-9.5972,-35.9567,26.96,87,95,1.76,BR,1712098315
328,kashgar,39.4547,75.9797,10.56,32,40,3.0,CN,1712098783
329,cabedelo,-6.9811,-34.8339,29.37,83,34,4.38,BR,1712098768
330,lerwick,60.1545,-1.1494,5.0,61,100,12.78,GB,1712098785
331,merizo village,13.2658,144.6691,28.54,84,99,7.91,GU,1712098785
332,bonthe,7.5264,-12.505,26.06,86,43,3.28,SL,1712098228
333,ati,13.2154,18.3353,29.09,11,100,4.5,TD,1712098787
334,novyy urengoy,66.0833,76.6333,-1.44,97,100,8.49,RU,1712098787
335,pamanukan,-6.2842,107.8106,25.91,88,73,1.4,ID,1712098788
336,lichinga,-13.3128,35.2406,16.24,94,92,2.17,MZ,1712098789
337,yaren,-0.5472,166.916,27.86,77,95,2.12,NR,1712098789
338,baidoa,3.1138,43.6498,24.99,80,42,3.76,SO,1712098790
339,basco,20.4487,121.9702,26.96,84,21,9.08,PH,1712098791
340,bamboo flat,11.7,92.7167,25.05,88,36,1.03,IN,1712098327
341,bobrov,51.0961,40.0333,15.61,57,99,7.23,RU,1712098792
342,fale old settlement,-9.3852,-171.2468,29.3,72,76,1.38,TK,1712098253
343,northam,51.0333,-4.2167,11.45,96,93,8.56,GB,1712098793
344,gobabis,-22.45,18.9667,17.49,87,100,3.79,NA,1712098521
345,ghanzi,-21.5667,21.7833,19.33,83,100,0.91,BW,1712098795
346,wynne,35.2245,-90.7868,17.48,63,25,8.28,US,1712098795
347,shimoda,34.6667,138.95,15.61,75,100,3.62,JP,1712098796
348,virginia,37.5481,-77.4467,21.92,79,75,2.06,US,1712098597
349,sitka,57.0531,-135.33,5.94,70,40,4.63,US,1712098235
350,antofagasta,-23.65,-70.4,20.6,77,20,1.63,CL,1712098798
351,luumaki,60.9262,27.5814,-0.94,95,100,6.58,FI,1712098798
352,saint-philippe,-21.3585,55.7679,24.77,83,94,6.98,RE,1712098765
353,lagos,6.5833,3.75,28.13,87,100,4.07,NG,1712098553
354,slatina,44.4333,24.3667,11.37,59,100,7.03,RO,1712098800
355,isla mujeres,21.2311,-86.731,28.98,82,43,7.26,MX,1712098801
356,cooper's town,26.8667,-77.5167,23.69,80,98,5.57,BS,1712098807
357,lata,40.1629,-8.3327,13.29,98,21,1.91,PT,1712098812
358,saint-pierre,-21.3393,55.4781,24.82,78,0,13.38,RE,1712098352
359,hirtshals,57.5881,9.9592,2.48,76,100,7.27,DK,1712098813
360,kill devil hills,36.0307,-75.676,23.0,78,0,6.69,US,1712098273
361,nuuk,64.1835,-51.7216,-0.66,74,18,4.12,GL,1712098756
362,kattivakkam,13.2167,80.3167,28.05,86,63,5.14,IN,1712098816
